Opleidingsnaam;Opleidingsnaam DUO - 3b. 2025;Opleidingscode;Subcategorie - NIDAP;Hoofdcategorie - NIDAP ;ISCED-hoofdgroep;ISCED-subgroep;RIO-onderdeel;ROA-opleidingstype;Opmerking;ISCED Rubriek (hoogste detail);ISCED detailgroep (op één na hoogste detail);HO sector;ROA Subsector;ROA Opleidingstype
B Creative Media and Game Technologies;B Creative Media and Game Technologies;30036;Multimediadesign en Mediatechnologie;Marketing, Communicatie en Mediaproductie;vormgeving, kunst, talen en geschiedenis;kunst;TECHNIEK;Bachelor - kunst;;multimediadesign en mediatechnologie;audiovisuele techniek en mediaproductie;Economie en Maatschappij;Kunst, Taal en Cultuur;Kunst
B Communication and Multimedia Design;B Communication and Multimedia Design;34092;Multimediadesign en Mediatechnologie;Marketing, Communicatie en Mediaproductie;vormgeving, kunst, talen en geschiedenis;kunst;TECHNIEK;Bachelor - kunst;Ook deel communicatie en marketing;multimediadesign en mediatechnologie;audiovisuele techniek en mediaproductie;Economie en Maatschappij;Kunst, Taal en Cultuur;Kunst
Ad Digitale Techniek & Media;Ad Digitale Techniek & Media;80165;Multimediadesign en Mediatechnologie;Marketing, Communicatie en Mediaproductie;vormgeving, kunst, talen en geschiedenis;kunst;TECHNIEK;Bachelor - kunst;;multimediadesign en mediatechnologie;audiovisuele techniek en mediaproductie;Economie en Maatschappij;Kunst, Taal en Cultuur;Kunst
Ad Smart Media Production;Ad Smart Media Production;80179;Multimediadesign en Mediatechnologie;Marketing, Communicatie en Mediaproductie;vormgeving, kunst, talen en geschiedenis;kunst;TECHNIEK;Bachelor - kunst;Ook richting marketing/sales;multimediadesign en mediatechnologie;audiovisuele techniek en mediaproductie;Economie en Maatschappij;Kunst, Taal en Cultuur;Kunst
M Game Technology;M Game Technology;49120;Multimediadesign en Mediatechnologie;Marketing, Communicatie en Mediaproductie;vormgeving, kunst, talen en geschiedenis;kunst;TECHNIEK;Master - kunst;;;;;;
M Master Digitale Technologie;M Master Digitale Technologie;40124;Multimediadesign en Mediatechnologie;Marketing, Communicatie en Mediaproductie;techniek, industrie en bouwkunde;techniek en technische dienstverlening;TECHNIEK;Master - elektrotechniek;;;;;;
B Technische Natuurkunde;B Technische Natuurkunde;56962;Natuur- en Sterrenkunde;Wis-, Natuur- en Sterrenkunde;wiskunde, natuurwetenschappen;natuurwetenschappen;TECHNIEK;Bachelor - wis-, schei-, natuurkunde en geologie;;natuurkunde;natuurkunde;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Wis-, Schei-, Natuurkunde en Geologie
M Nanotechnology;M Nanotechnology;60028;Natuur- en Sterrenkunde;Wis-, Natuur- en Sterrenkunde;wiskunde, natuurwetenschappen;natuurwetenschappen;TECHNIEK;Master - wis-, schei-, natuurkunde en geologie;;natuurkunde;natuurkunde;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Wis-, Schei-, Natuurkunde en Geologie
M Applied Physics;M Applied Physics;60436;Natuur- en Sterrenkunde;Wis-, Natuur- en Sterrenkunde;wiskunde, natuurwetenschappen;natuurwetenschappen;TECHNIEK;Master - wis-, schei-, natuurkunde en geologie;;natuurkunde;natuurkunde;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Wis-, Schei-, Natuurkunde en Geologie
M Applied Geophysics (joint degree);M Applied Geophysics (joint degree);65028;Natuur- en Sterrenkunde;Wis-, Natuur- en Sterrenkunde;wiskunde, natuurwetenschappen;natuurwetenschappen;TECHNIEK;ROA NOG NIET INGEDEELD;;;;;;
M Applied Nanotechnology;M Applied Nanotechnology;49097;Natuur- en Sterrenkunde;Wis-, Natuur- en Sterrenkunde;techniek, industrie en bouwkunde;techniek en technische dienstverlening;TECHNIEK;Master - werktuigbouwkunde;;;;;;
B Applied Science;B Applied Science;30008;Natuur- en Sterrenkunde;Wis-, Natuur- en Sterrenkunde;wiskunde, natuurwetenschappen;wiskunde, natuurwetenschappen z.n.d.;TECHNIEK;Bachelor - wis-, schei-, natuurkunde en geologie;Combinatie chemie, biologie en technologie;wiskunde, natuurwetenschappen z.n.d.;wiskunde, natuurwetenschappen z.n.d.;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Wis-, Schei-, Natuurkunde en Geologie
Ad Maintenance & Mechanics;Ad Maintenance & Mechanics;80079;Onderhoud;Engineering, milieutechniek en energietechnologie;techniek, industrie en bouwkunde;techniek en technische dienstverlening;TECHNIEK;Bachelor - werktuigbouwkunde;;techniek en technische dienstverlening z.n.d.;techniek en technische dienstverlening z.n.d.;Techniek en Ict;Techniek en Ict;Werktuigbouwkunde
Ad Maintenance;Ad Maintenance;80184;Onderhoud;Engineering, milieutechniek en energietechnologie;techniek, industrie en bouwkunde;techniek en technische dienstverlening;TECHNIEK;Bachelor - werktuigbouwkunde;;werktuigbouwkunde algemeen;werktuigbouwkunde en metaalbewerking;Techniek en Ict;Techniek en Ict;Werktuigbouwkunde
B Ruimtelijke Ontwikkeling;B Ruimtelijke Ontwikkeling;30038;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;techniek, industrie en bouwkunde;architectuur en bouwkunde;TECHNIEK;Bachelor - bouwkunde, civiele techniek en architectuur;;planologie;architectuur en stedebouwkunde;Techniek en Ict;Techniek en Ict;Bouwkunde, Civiele Techniek en Architectuur
B Built Environment;B Built Environment;39280;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;techniek, industrie en bouwkunde;architectuur en bouwkunde;TECHNIEK;Bachelor - bouwkunde, civiele techniek en architectuur;;bouwkundige architectuur, stedenbouw;architectuur en stedebouwkunde;Techniek en Ict;Techniek en Ict;Bouwkunde, Civiele Techniek en Architectuur
Ad Built Environment;Ad Built Environment;80154;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;techniek, industrie en bouwkunde;architectuur en bouwkunde;TECHNIEK;Bachelor - bouwkunde, civiele techniek en architectuur;;bouwkundige architectuur, stedenbouw;architectuur en stedebouwkunde;Techniek en Ict;Techniek en Ict;Bouwkunde, Civiele Techniek en Architectuur
M Spatial Engineering;M Spatial Engineering;60962;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;techniek, industrie en bouwkunde;architectuur en bouwkunde;TECHNIEK;Master - bouwkunde, civiele techniek en architectuur;;planologie;architectuur en stedebouwkunde;Techniek en Ict;Techniek en Ict;Bouwkunde, Civiele Techniek en Architectuur
M Metropolitan Analysis, Design and Engineering (joint degree);M Metropolitan Analysis, Design and Engineering (joint degree);65021;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;techniek, industrie en bouwkunde;architectuur en bouwkunde;TECHNIEK;Master - bouwkunde, civiele techniek en architectuur;;planologie;architectuur en stedebouwkunde;Techniek en Ict;Techniek en Ict;Bouwkunde, Civiele Techniek en Architectuur
M Master of Urban and Area Development (joint degree);M Master of Urban and Area Development (joint degree);49503;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;techniek, industrie en bouwkunde;architectuur en bouwkunde;TECHNIEK;Master - bouwkunde, civiele techniek en architectuur;;;;;;
M River Delta Development (joint degree);M River Delta Development (joint degree);49506;Ruimtelijke Ontwikkeling en Sociale Geografie;Ruimtelijke Ontwikkeling, Bouwkunde en Geodata;techniek, industrie en bouwkunde;architectuur en bouwkunde;TECHNIEK;ROA NOG NIET INGEDEELD;;;;;;
M Science and Technology of Nuclear Fusion;M Science and Technology of Nuclear Fusion;66904;Werktuigbouwkunde;Engineering, milieutechniek en energietechnologie;wiskunde, natuurwetenschappen;natuurwetenschappen;TECHNIEK;Master - wis-, schei-, natuurkunde en geologie;Combi applied physics en engineering;materiaalkunde;natuurkunde;Landbouw en Natuur;Landbouw, Wiskunde en Natuurwetenschappen;Wis-, Schei-, Natuurkunde en Geologie
Ad Industriële Automatisering en Robotica;Ad Industriële Automatisering en Robotica;80157;Werktuigbouwkunde;Engineering, milieutechniek en energietechnologie;techniek, industrie en bouwkunde;techniek en technische dienstverlening;TECHNIEK;Bachelor - elektrotechniek;;;;Techniek en Ict;Techniek en Ict;Elektrotechniek
B Mechanical Engineering;B Mechanical Engineering;50439;Werktuigbouwkunde;Engineering, milieutechniek en energietechnologie;techniek, industrie en bouwkunde;techniek en technische dienstverlening;TECHNIEK;Bachelor - werktuigbouwkunde;;werktuigbouwkunde algemeen;werktuigbouwkunde en metaalbewerking;Techniek en Ict;Techniek en Ict;Werktuigbouwkunde
B Werktuigbouwkunde;B Werktuigbouwkunde;56966;Werktuigbouwkunde;Engineering, milieutechniek en energietechnologie;techniek, industrie en bouwkunde;techniek en technische dienstverlening;TECHNIEK;Bachelor - werktuigbouwkunde;;werktuigbouwkunde algemeen;werktuigbouwkunde en metaalbewerking;Techniek en Ict;Techniek en Ict;Werktuigbouwkunde
